Region_on_GISAID,region,Comment
Alpes Maritimes,Provence-Alpes-Côte d'Azur,
Alsace,Grand Est,
Aquitaine,Nouvelle-Aquitaine,
Ariege,Occitanie,
Aude,Occitanie,
Auvergne,Auvergne-Rhône-Alpes,
Auvergne-Rhone-Alpes,Auvergne-Rhône-Alpes,
Aveyron,Occitanie,
Basse Normandie,Normandie,
Bourgogne,Bourgogne-Franche-Comté,
Bourgogne-Franche-Comte,Bourgogne-Franche-Comté,
Bourgogne-Franche-Comté,Bourgogne-Franche-Comté,
Bretagne,Bretagne,
Burgundy,Bourgogne-Franche-Comté,
Centre,Centre-Val de Loire,
Centre Val de Loire,Centre-Val de Loire,
Centre Val De Loire,Centre-Val de Loire,
Centre val de Loire,Centre-Val de Loire,
Centre-Val de Loire,Centre-Val de Loire,
Champagne-Ardenne,Grand Est,
Corse,Corse,
Côte d'Azur,Provence-Alpes-Côte d'Azur,
Gers,Occitanie,
Grand Est,Grand Est,
Grand-Est,Grand Est,
Grenoble,Auvergne-Rhône-Alpes,
Guyane,NA,Not mainland France. Should read South America / Guyane
Haut-Rhin,Grand Est,
Haute-Garonne,Occitanie,
Haute-Normandie,Normandie,
Hautes-Pyrenees,Occitanie,
Hauts De France,Hauts-de-France,
Hauts de France,Hauts-de-France,
Hauts-de-France,Hauts-de-France,
Ile de France,Île-de-France,
Ile De France,Île-de-France,
Ile-de-France,Île-de-France,
Île-de-France,Île-de-France,
Lorraine,Grand Est,
Lot,Occitanie,
Lot-et-Garonne,Nouvelle-Aquitaine,
Marseille,Provence-Alpes-Côte d'Azur,
Meuse,Grand Est,
Nice,Provence-Alpes-Côte d'Azur,
Nord Pas De Calais,Hauts-de-France,
Nord Pas de Calais,Hauts-de-France,
Nord_Pas_de_Calais,Hauts-de-France,
Normandie,Normandie,
Normandy,Normandie,
Nouvelle-Aquitaine,Nouvelle-Aquitaine,
Occitanie,Occitanie,
PAC,Provence-Alpes-Côte d'Azur,
Pays de la Loire,Pays de la Loire,
Pays De La Loire,Pays de la Loire,
Pays de La Loire,Pays de la Loire,
Pays de Loire,Pays de la Loire,
Pays_de_Loire,Pays de la Loire,
Pays-de-la-Loire,Pays de la Loire,
Picardie,Hauts-de-France,
Poitou Charentes,Nouvelle-Aquitaine,
Provence Alpes Cote Azur,Provence-Alpes-Côte d'Azur,
Provence Alpes Côte d'Azur,Provence-Alpes-Côte d'Azur,
Provence-Alpes-Cote d'Azur,Provence-Alpes-Côte d'Azur,
Provence-Alpes-Côte d'Azur,Provence-Alpes-Côte d'Azur,
Provence-alpes-cote-d'azur,Provence-Alpes-Côte d'Azur,
Provence-Alpes-Cote-d'Azur,Provence-Alpes-Côte d'Azur,
Pyrenees-Orientales,Occitanie,
Rhone Alpes,Auvergne-Rhône-Alpes,
Tarn,Occitanie,
Tarn-et-Garonne,Occitanie,
Val d'Oise,Île-de-France,
